"","statusesCount","followersCount","friendsCount","flag","logFollowersCount","logStatusesCount","logFriendsCount","cluster"
"1",1032,14354964,43,1,16.4796063636972,6.93925394604151,3.76120011569356,1
"2",8862,489,478,1,6.19236248947487,9.08952775175944,6.16961073249146,3
"3",15602,669,607,1,6.50578406012823,9.65515439014826,6.4085287910595,3
"4",20683,386,370,1,5.95583736946483,9.93706738579932,5.91350300563827,3
"5",10005,317,481,1,5.75890177387728,9.21084024701783,6.17586727010576,3
"6",10683,520,623,1,6.25382881157547,9.27640897194589,6.43454651878745,3
"7",13456,1527026,1005,1,14.2388326109058,9.50718038221273,6.91274282049318,1
"8",10320,20552,1130,1,9.93071353878972,9.24183903903555,7.02997291170639,4
"9",15021,8262935,59,1,15.92729040926,9.61720450099805,4.07753744390572,1
"10",1157,675,87,1,6.51471269087253,7.05358572719368,4.46590811865458,5
"11",3088,288342,10925,1,12.5719025545976,8.03527891114467,9.29880901996379,4
"12",3071,2598877,142,1,14.7705899866091,8.02975852044082,4.95582705760126,1
"13",20551,1150,770,1,7.0475172213573,9.93066488054092,6.64639051484773,3
"14",35273,806,493,1,6.69208374250663,10.4708730777359,6.20050917404269,3
"15",17664,4217437,180,1,15.2547381555314,9.77928394907682,5.19295685089021,1
"16",1790,304,1012,1,5.71702770140622,7.4899708988348,6.91968384984741,5
"17",259,52,136,1,3.95124371858143,5.55682806169954,4.91265488573605,5
"18",2869,144,291,1,4.969813299576,7.96171881598136,5.67332326717149,5
"19",161,72,171,1,4.27666611901606,5.08140436498446,5.14166355650266,5
"20",12327,868007,577,1,13.6739550581261,9.41954725755152,6.3578422665081,1
"21",3372,302,600,1,5.71042701737487,8.12326131912175,6.39692965521615,3
"22",26278,949,350,1,6.85540879860993,10.1764873662018,5.85793315448346,3
"23",35425,1667,936,1,7.41878088275079,10.4751730645589,6.84161547647759,3
"24",21756,8701,7811,1,9.07119324056602,9.98764486054285,8.9632882756103,4
"25",11524,187427,1498,1,12.1411447152494,9.35218709620442,7.31188616407716,4
"26",455261,953843,141438,1,13.7682543666566,13.028626159846,11.8596167375,1
"27",827,123,404,1,4.81218435537242,6.71780469502369,6.00141487796115,5
"28",3465,166,412,1,5.11198778835654,8.150467911624,6.02102334934953,3
"29",1255,209,117,1,5.34233425196481,7.13489085156588,4.76217393479776,5
"30",5997,293,196,1,5.68017260901707,8.69901462316851,5.27811465923052,3
"31",7766,276,193,1,5.62040086571715,8.95751051029161,5.26269018890489,3
"32",6697,682,615,1,6.52502965784346,8.80941494391005,6.42162226780652,3
"33",31005,646,262,1,6.4707995037826,10.341903760784,5.5683445037611,3
"34",564,14033,1846,1,9.54916697775114,6.33505425149806,7.5207764150628,4
"35",139,54981,2,1,10.914742949986,4.93447393313069,0.693147180559945,4
"36",53315,1457442,1853,1,14.1921934022469,10.8839729964523,7.52456122628536,1
"37",24792,1250,269,1,7.13089883029635,10.1182762994676,5.59471137960184,3
"38",18212,524,903,1,6.26149168432104,9.80983599645467,6.80572255341699,3
"39",2,19426,1,1,9.87436765396228,0.693147180559945,0,2
"40",2167,100,113,1,4.60517018598809,7.68109900153636,4.72738781871234,5
"41",186,35,51,1,3.55534806148941,5.2257466737132,3.93182563272433,5
"42",3204,143,59,1,4.96284463025991,8.07215530818825,4.07753744390572,5
"43",5477,105,99,1,4.65396035015752,8.60831278478372,4.59511985013459,3
"44",11319,633,754,1,6.45047042214418,9.33423800863242,6.62539236800796,3
"45",11095,6898,449,1,8.83898679349679,9.3142498353667,6.10702288774225,4
"46",9665,190,235,1,5.24702407216049,9.17626639164243,5.45958551414416,3
"47",8632,420,146,1,6.04025471127741,9.06323150693797,4.98360662170834,3
"48",135106,194603,4845,1,12.1787168648537,11.8138149345091,8.48570252432487,1
"49",6941,222,283,1,5.40267738187228,8.84520113533958,5.64544689764324,3
"50",6494,19750,91,1,9.89090877032927,8.77863395266279,4.51085950651685,4
"51",4943,197,315,1,5.28320372873799,8.50572771330696,5.75257263882563,3
"52",23603,5590049,1101,1,15.5364986107458,10.0691291015789,7.00397413672268,1
"53",22399,506120,50616,1,13.1345290743032,10.0167715939895,10.8320230108267,1
"54",35,68,688,1,4.21950770517611,3.55534806148941,6.53378883793334,2
"55",176,134,19,1,4.89783979995091,5.17048399503815,2.94443897916644,5
"56",24466,292155,125341,1,12.5850397623321,10.1050396776069,11.7387933020459,1
"57",2495,170,202,1,5.13579843705026,7.82204400818562,5.30826769740121,5
"58",10710,313,240,1,5.74620319054015,9.27893316344179,5.48063892334199,3
"59",12900,582,730,1,6.36647044773144,9.46498259034976,6.59304453414244,3
"60",214,203,569,1,5.31320597904179,5.36597601502185,6.34388043412633,5
"61",31,36,107,1,3.58351893845611,3.43398720448515,4.67282883446191,2
"62",354,154,391,1,5.03695260241363,5.86929691313377,5.96870755998537,5
"63",5875,1750,487,1,7.46737106691756,8.67846133901236,6.18826412308259,3
"64",28297,2061,659,1,7.63094658089046,10.250511070945,6.49072353450251,3
"65",32491,618,541,1,6.42648845745769,10.3887184068906,6.29341927884648,3
"66",5040,189,248,1,5.24174701505964,8.52516136106541,5.51342874616498,3
"67",9441,430,414,1,6.06378520868761,9.15281718573252,6.02586597382531,3
"68",284,146,200,1,4.98360662170834,5.64897423816121,5.29831736654804,5
"69",12396,210,190,1,5.34710753071747,9.42512911890764,5.24702407216049,3
"70",185,81,138,1,4.39444915467244,5.22035582507832,4.92725368515721,5
"71",848,209,42,1,5.34233425196481,6.7428806357919,3.73766961828337,5
"72",410,73,282,1,4.29045944114839,6.01615715969835,5.64190707093811,5
"73",5807,1940,942,1,7.57044325205737,8.66681936537205,6.84800527457636,3
"74",9889,263,165,1,5.57215403217776,9.19917830726999,5.10594547390058,3
"75",5067,557,815,1,6.32256523992728,8.53050420547591,6.70318811324086,3
"76",566321,156424,97557,1,11.9603255480061,13.2469163342326,11.4881921015496,1
"77",100385,34700,13710,1,10.454494965935,11.5167680726877,9.52588077255636,4
"78",11546,445,306,1,6.09807428216624,9.35409433562088,5.72358510195238,3
"79",15800,820,228,1,6.7093043402583,9.66776521901506,5.42934562895444,3
