"","Row.names","Usuario1","Usuario2","Usuario3","Usuario4","Usuario5"
"808","Època",1,28,0,0,0
"809","equality",1,0,0,0,1
"810","equals",0,1,0,1,1
"811","equipo",5,0,6,2,1
"812","er",2,0,2,0,0
"813","era",1,0,0,0,1
"814","error",0,0,6,1,0
"815","errores",2,1,1,6,1
"816","esatamente",1,0,1,0,0
"817","escada",0,1,0,1,1
"818","escondida",0,1,0,1,1
"819","escribir",4,0,1,0,0
"820","escuchada",1,0,1,1,2
"821","escuela",0,0,7,2,1
"822","escuelas",0,0,6,1,0
"823","esfuerzo",1,1,0,2,0
"824","espa„",0,0,1,0,2
"825","espacio",5,28,1,0,2
"826","espacios",1,0,0,0,1
"827","especial",3,1,1,2,1
"828","especiales",1,0,0,1,0
"829","especializado",0,0,1,0,1
"830","espectacular",0,1,0,1,2
"831","espera",1,0,8,0,1
"832","esperamos",3,0,3,4,0
"833","esperan",1,0,0,1,0
"834","esperando",0,0,3,5,1
"835","esperanza",0,1,1,1,0
"836","esperar",0,0,0,1,1
"837","espiritual",2,1,0,0,0
"838","est„",0,0,19,9,4
"839","est„n",0,0,13,15,5
"840","estar„",0,0,0,2,2
"841","estarlo",1,0,0,1,0
"842","est„s",0,0,0,6,1
"843","esto",0,1,0,0,1
"844","estrella",1,2,0,2,0
"845","estrellas",2,3,1,3,0
"846","estreno",0,1,0,1,1
"847","estudiantes",0,1,0,4,0
"848","estudiar",1,1,0,1,1
"849","estudios",2,0,0,2,0
"850","estudiosos",0,1,0,1,0
"851","etc",2,1,3,0,0
"852","eternas",1,0,0,0,1
"853","etiqueta",1,1,1,0,4
"854","eu",0,0,1,0,2
"855","europa",1,0,1,0,0
"856","evangelio",0,0,10,0,1
"857","even",1,0,1,2,0
"858","evento",1,1,2,0,1
"859","eventos",1,0,1,0,1
"860","ever",3,0,1,1,2
"861","everyday",1,1,0,0,0
"862","everyone",1,0,0,0,2
"863","everything",0,0,2,1,0
"864","evidente",0,0,1,0,1
"865","ex",2,0,2,1,1
"866","exactamente",0,1,1,1,1
"867","examen",0,1,1,0,0
"868","excelente",1,5,3,3,4
"869","exclusivas",0,0,0,1,1
"870","existe",1,0,0,1,0
"871","expansion",1,0,0,0,1
"872","experiencia",2,3,7,3,2
"873","explicaban",0,1,0,1,0
"874","explicado",1,0,1,0,0
"875","explicar",0,0,1,0,1
"876","expresa",1,0,0,1,0
"877","expresi„n",0,0,2,1,0
"878","exterior",0,0,1,1,0
"879","extra„",0,0,0,1,1
"880","extraordinario",1,0,1,1,0
"881","extremo",1,0,0,1,0
"882","eyes",3,0,9,0,0
"883","fa",3,0,1,0,0
"884","face",0,1,0,0,1
"885","facebok",3,1,0,2,3
"886","f·cil",1,1,0,0,0
"887","f„cil",0,0,1,0,2
"888","facts",0,0,3,1,0
"889","falleci„",0,0,0,1,2
"890","fallecimiento",1,0,0,0,1
"891","falling",1,0,0,0,1
"892","falso",0,0,1,2,0
"893","falta",2,3,10,0,3
"894","faltan",0,0,8,0,1
"895","familia",3,2,14,3,2
"896","familiares",2,30,2,1,1
"897","familias",0,0,13,0,1
"898","family",1,1,0,1,1
"899","fan",2,1,0,3,3
"900","far",1,0,0,0,2
"901","farmatodoindignada",0,1,0,0,1
"902","f„sico",0,0,0,1,1
"903","f„tbol",0,0,0,1,1
"904","father",1,0,1,0,1
"905","favor",4,59,9,4,3
"906","favoritos",1,0,0,0,1
"907","fazemos",1,0,0,1,0
"908","fc",1,0,0,0,2
"909","fe",0,1,18,0,0
"910","fear",1,0,0,0,1
"911","fel",1,0,0,3,0
"912","felicidad",4,0,1,0,0
"913","felicidades",1,0,0,5,0
"914","feliz",8,2,16,7,4
"915","fella",1,0,0,1,0
"916","female",2,0,0,0,1
"917","feria",1,29,1,0,2
"918","fernandez",0,0,1,0,1
"919","festival",1,0,0,0,1
"920","fiesta",0,0,6,3,2
"921","fifa",1,1,0,0,0
"922","fight",2,1,2,0,1
"923","figuran",0,0,1,1,0
"924","filmaker",1,0,1,0,0
"925","filmed",0,0,0,1,1
"926","filtrado",0,1,0,1,0
"927","filtros",0,1,0,1,0
"928","fin",1,5,2,2,4
"929","final",1,1,6,0,1
"930","finales",0,1,0,1,1
"931","find",0,0,1,0,3
"932","findemundo",2,0,0,0,1
"933","fireworks",0,1,1,1,1
"934","firma",0,0,2,1,0
"935","first",0,0,1,5,3
"936","floyd",2,0,0,0,1
"937","fod",4,0,0,0,1
"938","fofo",0,0,0,3,2
"939","follow",3,0,1,2,2
"940","fondo",0,0,8,1,0
"941","fonte",0,0,0,1,1
"942","forever",3,0,0,0,3
"943","forma",6,0,0,11,1
"944","formas",1,0,15,2,0
"945","fotball",1,0,0,2,1
"946","fotograf„",0,0,1,1,0
"947","foto",0,28,0,10,4
"948","fotos",4,5,0,10,4
"949","fotostwiterdanielmijares",1,0,0,0,1
"950","fotwork",1,0,0,1,0
"951","found",3,0,1,0,0
"952","franc„s",0,0,6,1,1
"953","fran",0,1,0,2,0
"954","francia",1,0,0,1,0
"955","francisco",1,0,59,1,0
"956","fre",0,0,0,2,1
"957","fredy",0,0,0,2,2
"958","frente",0,1,3,3,0
"959","friend",0,0,0,1,3
"960","fronteras",1,0,0,0,1
"961","frutos",0,0,1,1,0
"962","ft",0,0,0,1,1
"963","fuente",0,2,0,1,0
"964","fuerte",0,28,2,1,3
"965","fuertes",1,0,6,0,1
"966","fuerza",1,3,3,2,0
"967","full",0,0,1,1,1
"968","fully",1,0,0,0,1
"969","fun",2,0,0,1,1
"970","funcionarios",2,0,0,0,1
"971","fundador",0,1,1,0,0
"972","funiest",1,1,0,0,1
"973","funk",1,0,0,0,1
"974","funy",0,0,6,0,1
"975","futbol",8,0,1,2,1
"976","future",1,0,0,1,1
"977","futuro",0,1,1,11,1
"978","gabe",0,1,0,1,0
"979","gabriel",2,0,0,1,0
"980","gag",0,1,0,1,0
"981","gags",1,1,0,0,0
"982","g„mez",0,0,1,1,0
"983","game",0,1,1,2,0
"984","gana",0,0,0,3,7
"985","ganador",1,1,0,1,0
"986","ganas",7,2,0,4,0
"987","ganenomueran",0,0,0,1,1
"988","garc„",0,0,3,1,0
"989","garcia",1,0,0,1,0
"990","gases",1,1,0,1,0
"991","gatlands",1,1,0,0,0
"992","gato",3,0,0,2,3
"993","gatos",0,0,0,3,1
"994","gay",0,0,3,0,1
"995","gaza",0,0,0,1,1
"996","general",0,0,1,1,1
"997","genial",0,3,0,13,2
"998","gente",4,3,3,4,2
"999","gerencia",1,0,0,0,1
"1000","get",4,1,1,2,1
"1001","gety",0,0,0,1,1
"1002","giant",1,0,0,2,0
"1003","gigles",1,1,0,0,0
"1004","girl",3,0,0,1,1
"1005","girls",0,1,0,0,2
"1006","give",2,0,1,1,0
"1007","gives",1,0,1,0,0
"1008","gli",1,0,1,0,0
"1009","gloria",0,0,1,0,1
"1010","go",2,0,0,1,0
"1011","gobierno",3,0,2,8,3
"1012","god",2,2,9,4,4
"1013","goduria",1,0,1,0,0
"1014","gogle",0,1,0,1,1
"1015","gogoi",1,0,0,0,1
"1016","going",1,0,0,2,2
"1017","gol",1,0,0,0,1
"1018","goles",2,0,0,0,1
"1019","gone",1,0,1,1,0
"1020","gonzalez",0,3,0,2,1
"1021","gordo",0,1,0,1,1
"1022","got",3,0,0,1,0
"1023","grabado",1,0,0,0,1
"1024","grabar",1,0,0,1,0
"1025","grace",1,0,1,0,1
"1026","gracias",5,3,62,14,4
"1027","gracioso",1,0,1,6,1
"1028","gran",7,1,22,9,6
"1029","grande",5,29,13,3,4
"1030","grandes",5,0,8,6,6
"1031","gratis",0,2,0,0,1
"1032","great",4,1,1,1,2
"1033","greatest",1,0,0,1,1
"1034","grecia",0,0,7,10,2
"1035","grexit",0,0,0,6,2
"1036","griego",1,0,6,0,0
"1037","group",0,1,0,1,0
"1038","grown",3,0,0,0,1
"1039","grupo",4,2,1,6,3
"1040","gu„",0,0,8,5,0
"1041","guasdalito",2,1,0,0,0
"1042","guasdualito",3,2,0,6,1
"1043","guerra",1,0,6,2,1
"1044","guerrero",1,0,0,1,1
"1045","guestsfriends",0,1,0,1,0
"1046","gusta",2,0,0,4,5
"1047","gustan",2,0,10,1,0
"1048","gustar„",0,0,1,0,1
"1049","gustavo",1,0,0,0,1
"1050","guste",0,1,2,1,0
"1051","gusto",2,1,1,2,6
"1052","guwahati",1,0,0,0,1
"1053","guy",1,0,0,1,1
"1054","guys",1,0,6,1,0
"1055","guzm„n",0,0,0,1,1
"1056","gym",0,1,0,0,1
"1057","hab„",0,0,9,1,3
"1058","haber",1,0,2,0,2
"1059","haberme",0,0,1,0,1
"1060","habitantes",1,0,0,2,0
"1061","habla",2,0,10,0,1
"1062","hablamos",1,0,1,0,0
"1063","hablar",1,0,0,2,1
"1064","hablen",1,28,0,0,0
"1065","habr„",0,0,0,1,1
"1066","hace",15,33,11,5,7
"1067","hacen",7,2,0,2,2
"1068","hacer",9,2,29,8,6
"1069","hacerlo",1,0,2,3,1
"1070","hacerse",1,0,8,1,0
"1071","hacia",0,28,22,0,2
"1072","haciendo",1,3,8,0,0
"1073","haga",2,0,1,7,1
"1074","hagamos",0,1,1,1,0
"1075","hagan",1,0,2,2,0
"1076","hagas",2,0,0,2,0
"1077","haha",101,87,49,73,104
"1078","hahah",2,0,6,0,1
"1079","hahaj",9,3,1,2,7
"1080","hall",1,0,0,0,2
"1081","hambre",5,2,0,0,1
"1082","hamster",0,1,0,1,1
"1083","hapen",1,1,1,0,0
"1084","hapens",2,0,0,1,0
"1085","hapy",2,0,7,0,0
"1086","har„",0,0,6,0,3
"1087","harina",2,0,0,0,1
"1088","haters",2,0,0,0,1
"1089","haz",2,1,7,2,0
"1090","hazte",0,1,0,0,1
"1091","health",1,0,1,0,0
"1092","heart",3,1,0,0,0
"1093","hecho",3,1,9,2,2
"1094","hechos",1,1,0,0,0
"1095","helado",2,0,0,0,2
"1096","help",5,0,6,2,0
"1097","heridas",1,0,1,1,0
"1098","hermandad",2,0,0,1,0
"1099","hermano",3,0,5,0,1
"1100","hermanos",1,0,5,3,1
"1101","hermosa",2,1,4,0,2
"1102","hermosas",0,0,0,1,1
"1103","hermoso",5,2,1,1,2
"1104","hernandez",2,2,1,0,0
"1105","hern·ndez",3,1,0,0,0
"1106","hero",1,0,1,0,0
"1107","hierro",1,1,0,0,0
"1108","hija",2,2,7,0,1
"1109","hijo",2,1,3,0,0
"1110","hijos",0,1,11,0,3
"1111","hiperfm",0,0,0,1,1
"1112","hipoteca",0,1,0,1,0
"1113","historia",3,2,7,1,4
"1114","historias",1,0,0,1,0
"1115","history",2,0,0,2,0
"1116","hizo",4,2,6,7,3
"1117","ho",1,0,0,0,1
"1118","hogar",0,0,1,0,1
"1119","hojas",0,0,12,0,1
"1120","hola",1,1,6,0,1
"1121","hollywod",0,0,1,1,0
"1122","hologramas",1,0,0,1,0
"1123","hombre",2,3,11,4,8
"1124","hombres",1,0,1,1,0
"1125","home",1,2,9,3,1
"1126","homosexual",0,0,2,0,2
"1127","honduras",0,1,0,1,0
"1128","honor",0,0,1,2,1
"1129","hope",1,0,1,1,1
"1130","hora",2,0,3,1,0
"1131","horas",4,2,8,0,0
"1132","hospital",6,1,0,2,2
"1133","hot",1,0,1,1,3
"1134","housing",1,0,0,0,1
"1135","houston",0,0,1,1,1
"1136","hoy",6,6,37,20,7
"1137","huesos",1,1,0,0,0
"1138","human",6,0,0,0,2
"1139","humanitaria",1,1,0,0,0
"1140","humano",3,0,1,1,1
"1141","humanos",4,0,2,0,1
"1142","humberto",0,28,0,0,1
"1143","humildad",0,1,1,1,1
"1144","humildes",0,0,1,0,1
"1145","humor",1,2,11,7,5
"1146","humorista",0,0,0,1,1
"1147","hurdles",0,0,1,0,1
"1148","ÌÇÌ",0,0,0,2,6
"1149","iba",1,0,0,1,1
"1150","idea",3,0,0,2,1
"1151","ideas",1,0,0,0,2
"1152","identidad",0,1,1,0,0
"1153","iglesia",0,1,16,0,4
"1154","ignorar",0,0,2,0,1
"1155","igor",0,0,1,1,0
"1156","igual",1,1,0,3,4
"1157","iguales",3,0,0,0,1
"1158","igualito",2,29,0,0,1
"1159","ÌÌ",0,0,1,0,6
"1160","il",2,0,1,0,16
"1161","ilustrador",0,0,0,2,1
"1162","imag„nate",0,0,0,1,1
"1163","im·genes",4,1,0,0,0
"1164","im„genes",0,0,2,1,2
"1165","image",0,0,1,0,1
"1166","imagen",9,0,3,1,1
"1167","imagenes",0,0,9,0,1
"1168","imaginas",1,0,6,0,0
"1169","imitating",0,0,1,0,1
"1170","imperative",1,0,0,1,0
"1171","imperio",0,0,0,1,1
"1172","importa",0,0,2,3,1
"1173","importancia",1,1,0,1,0
"1174","importante",4,1,2,0,3
"1175","importantes",0,1,1,1,0
"1176","imposible",4,0,1,1,0
"1177","impres",0,1,0,1,0
"1178","impresionante",2,2,0,0,0
"1179","impresionantes",2,0,2,0,0
"1180","in„dita",0,0,0,1,1
"1181","inbox",1,0,0,1,0
"1182","incluso",5,1,1,0,0
"1183","incluye",0,0,2,2,0
"1184","incluyendo",0,0,0,1,1
"1185","incondicional",0,1,0,1,0
"1186","incre„ble",0,0,15,3,3
"1187","incredibili",1,0,0,0,1
"1188","incredible",1,0,0,0,1
"1189","increÌble",1,1,0,0,0
"1190","increible",1,0,0,1,0
"1191","independiente",0,1,0,0,1
"1192","india",2,0,0,0,1
"1193","indignante",1,1,0,0,0
"1194","industry",1,0,0,0,1
"1195","infancia",2,1,7,0,1
"1196","influencia",1,0,0,1,0
"1197","informa",0,0,6,0,1
"1198","informaci„n",0,0,8,4,3
"1199","informaciÛn",9,3,0,0,0
"1200","info",0,1,0,1,3
"1201","informados",0,28,0,0,1
"1202","information",2,0,1,0,0
"1203","ingl„s",0,0,0,1,2
"1204","ingrediente",1,0,0,0,1
"1205","ingredientes",0,0,0,1,1
"1206","inicia",1,0,1,0,0
"1207","iniciar",0,1,1,0,0
"1208","inmensamente",1,1,1,0,0
"1209","inocultable",1,0,0,0,1
"1210","inscr„bete",0,0,0,1,1
"1211","inscribirse",1,1,7,3,3
"1212","inscripci„n",0,0,2,0,1
"1213","inseguridad",1,1,0,1,0
"1214","inseguros",1,0,0,1,0
"1215","inspiracion",0,1,0,1,2
"1216","instagram",2,9,18,4,5
"1217","instrumento",0,0,1,0,1
"1218","inteligencia",1,1,0,0,1
"1219","inteligente",1,0,1,0,0
"1220","intenso",1,0,0,0,1
"1221","inter„s",0,0,1,1,0
"1222","intercambio",1,0,0,1,0
"1223","interesante",1,1,9,2,1
"1224","interesting",0,27,1,0,0
"1225","interior",2,1,1,0,0
"1226","internacional",1,0,12,0,0
"1227","internet",0,1,0,2,1
"1228","interpretan",1,0,0,0,1
"1229","intimidating",1,0,0,0,1
"1230","intoxiquen",0,1,0,1,0
"1231","intriga",0,0,0,1,1
"1232","inusual",0,1,0,1,1
"1233","invent„",0,0,1,2,0
"1234","invisible",0,0,1,0,1
"1235","invita",1,1,7,0,0
"1236","invitados",2,0,0,1,0
"1237","invitamos",0,0,1,1,0
"1238","invito",1,1,0,0,1
"1239","invocadores",1,1,0,2,1
"1240","ir",4,1,1,1,1
"1241","irse",1,0,0,1,0
"1242","isac",1,0,0,1,1
"1243","ist˙rizsi",1,1,0,0,0
"1244","italia",1,0,0,0,1
"1245","italiani",1,0,1,0,0
"1246","itunes",1,1,0,1,0
"1247","ivan",1,29,1,0,0
"1248","ja",4,0,0,4,0
"1249","jacc",1,0,0,0,1
"1250","jack",0,1,0,1,1
"1251","jackson",1,0,0,3,2
"1252","jam·s",2,1,0,0,0
"1253","jard„n",0,0,1,1,0
"1254","j„venes",0,0,12,1,2
"1255","javier",2,0,1,0,2
"1256","je",1,0,0,0,1
"1257","jesucristo",0,0,5,0,2
"1258","jesus",0,5,0,1,1
"1259","jhony",1,29,1,0,0
"1260","jim„nez",0,0,0,1,2
"1261","joe",1,1,0,1,0
"1262","john",1,0,7,1,0
"1263","johny",2,1,0,3,2
"1264","jos„",0,0,4,1,1
"1265","jose",2,29,0,0,1
"1266","joven",6,0,26,0,1
"1267","juan",1,1,2,3,6
"1268","juega",0,0,0,1,1
"1269","juego",0,0,6,0,1
"1270","juegos",1,0,0,6,1
"1271","jueves",3,0,1,1,1
"1272","jugador",0,0,6,2,0
"1273","jugadores",3,0,0,1,0
"1274","jugar",6,1,7,0,2
"1275","juiced",0,1,0,1,1
"1276","julio",10,1,18,6,1
"1277","july",2,0,1,3,1
"1278","juntas",2,1,0,0,0
"1279","junto",1,0,2,2,1
"1280","juntos",0,0,0,1,1
"1281","just",5,0,10,4,6
"1282","justicia",0,1,3,0,1
"1283","justo",4,0,0,1,0
"1284","juvenil",1,0,7,0,0
"1285","juventud",3,0,14,0,1
"1286","karina",1,0,0,1,0
"1287","karn‰",0,0,0,1,1
"1288","kevin",0,0,2,1,0
"1289","kg",1,0,0,0,1
"1290","kid",0,1,0,0,1
"1291","kids",2,0,0,1,0
"1292","kind",1,0,0,1,0
"1293","kit",0,1,0,1,0
"1294","kiten",1,0,0,0,1
"1295","kitens",0,0,0,1,1
"1296","know",6,1,1,2,2
"1297","lado",2,1,0,1,0
"1298","ladrones",0,1,0,0,7
"1299","lagrimas",0,0,1,1,0
"1300","lamentablemente",0,1,0,1,0
"1301","lan",1,0,0,1,0
"1302","l„neas",0,0,1,1,0
"1303","lanza",0,0,0,2,1
"1304","largo",1,0,0,0,1
"1305","last",1,0,1,0,0
"1306","lastima",1,0,1,0,0
"1307","l·stima",1,1,0,0,0
"1308","l„stima",0,0,0,1,1
"1309","latina",2,0,2,0,0
"1310","latinoam„rica",0,0,1,1,0
"1311","latinoamericanas",0,1,0,0,1
"1312","latricolor",1,0,0,0,1
"1313","le„",0,0,1,0,1
"1314","lecci„n",0,0,0,1,2
"1315","lecciÛn",3,1,0,0,0
"1316","leche",3,1,0,3,6
"1317","lectores",0,0,2,0,1
"1318","leg",2,0,0,1,0
"1319","lejos",1,0,0,3,0
"1320","lenguaje",0,0,2,1,0
"1321","leonard",0,0,0,1,1
"1322","leopard",2,0,0,0,2
"1323","leopards",1,0,0,0,1
"1324","ler",0,1,1,5,2
"1325","letra",1,0,0,1,0
"1326","letras",0,1,1,0,0
"1327","ley",1,0,0,1,0
"1328","libere",0,1,0,1,0
"1329","libertad",2,1,4,0,0
"1330","libre",2,0,1,0,1
"1331","libres",1,1,0,0,0
"1332","libro",2,0,0,0,3
"1333","licuadora",0,0,0,1,1
"1334","liebre",1,0,0,0,1
"1335","life",9,0,7,21,11
"1336","like",17,38,12,15,37
"1337","likely",2,0,1,0,0
"1338","limitada",0,0,0,1,1
"1339","linda",2,1,0,2,1
"1340","lindo",1,0,6,0,2
"1341","link",1,1,1,1,1
"1342","lionel",0,0,0,1,2
"1343","listos",0,0,1,0,1
"1344","literatura",2,0,1,0,1
"1345","litle",1,0,1,2,2
"1346","live",0,0,0,5,2
"1347","llama",2,29,1,0,7
"1348","llamada",1,0,2,2,1
"1349","llamado",2,1,1,5,0
"1350","llamar",1,0,0,3,0
"1351","llave",2,1,0,0,0
"1352","lleg„",0,0,10,1,0
"1353","llega",2,0,1,1,0
"1354","llegar",2,1,2,7,0
"1355","llena",2,0,8,0,1
"1356","llenas",1,0,1,0,1
"1357","lleno",1,0,1,0,0
"1358","lleva",1,0,1,0,0
"1359","llevada",0,1,0,0,1
"1360","llevado",0,0,6,0,1
"1361","llevan",2,1,1,1,0
"1362","llevar",0,0,0,1,1
"1363","llevÛ",1,1,0,0,0
"1364","llevo",1,0,0,1,0
"1365","llorando",1,0,0,1,0
"1366","llorar",0,0,0,1,1
"1367","lloro",1,0,0,1,1
"1368","lluvias",2,0,0,2,0
"1369","lmao",0,0,0,1,1
"1370","loca",0,1,0,0,1
"1371","loco",1,1,0,0,1
"1372","locura",0,0,1,1,0
"1373","logr„",0,0,1,2,0
"1374","lograr",0,0,2,1,0
"1375","logro",2,0,6,1,0
"1376","lok",4,0,3,1,1
"1377","loked",1,0,0,0,2
"1378","loking",3,0,1,0,0
"1379","lokisho",1,0,1,0,0
"1380","loks",0,0,1,1,0
"1381","long",1,0,1,0,0
"1382","lost",1,1,0,0,1
"1383","loud",1,0,0,0,1
"1384","love",7,3,5,5,2
"1385","luchar",1,0,9,0,0
"1386","luck",1,0,0,1,0
"1387","luego",5,4,16,2,5
"1388","lugar",3,1,10,8,1
"1389","luglio",1,0,1,0,2
"1390","luis",3,0,1,1,2
"1391","lujo",1,1,0,0,0
"1392","lunes",0,1,2,1,1
"1393","luz",1,0,5,0,0
"1394","ma",2,0,0,5,2
"1395","m„",0,0,12,4,4
"1396","m„Ås",0,0,7,3,14
"1397","ma„ëana",0,0,0,1,1
"1398","ma„ana",0,0,10,11,5
"1399","made",3,1,0,0,0
"1400","madre",7,2,7,1,3
"1401","madres",5,0,6,0,0
"1402","madrid",0,0,4,0,1
"1403","maduro",2,1,6,2,2
"1404","maestro",1,0,0,1,0
"1405","magia",0,1,1,0,1
"1406","m„gico",0,0,2,2,0
"1407","mais",1,0,0,1,1
"1408","make",2,1,1,3,0
"1409","makes",1,0,0,0,1
"1410","making",0,1,0,1,1
"1411","mal",6,0,6,0,3
"1412","mala",1,0,0,1,1
"1413","males",1,0,1,0,0
"1414","malos",2,0,0,2,0
"1415","maltrato",3,2,0,0,0
"1416","mam·",1,1,0,0,0
"1417","mam„",0,0,0,2,1
"1418","mami",0,0,0,1,1
"1419","man",9,1,0,1,2
"1420","manejar",0,0,1,2,0
"1421","manera",1,30,4,5,3
"1422","mano",0,1,2,0,1
"1423","manos",1,1,14,0,3
"1424","mantendr„",0,0,0,1,1
"1425","mantenerlos",0,28,0,0,1
"1426","mantiene",1,1,0,1,0
"1427","manuel",0,1,0,0,1
"1428","many",0,0,7,0,1
"1429","maÒana",3,1,0,0,0
"1430","maquillaje",0,1,0,1,0
"1431","mar",0,31,0,3,3
"1432","mar„",0,0,5,1,0
"1433","m„rala",0,0,0,2,2
"1434","maravilla",1,1,0,0,0
"1435","maravillosa",1,0,0,0,1
"1436","maravilloso",1,1,1,0,1
"1437","marca",0,1,0,0,8
"1438","margarita",0,1,0,1,1
"1439","maria",2,1,1,0,0
"1440","marido",0,0,1,0,1
"1441","mario",2,1,0,0,4
"1442","mark",1,0,1,0,0
"1443","market",1,0,0,0,1
"1444","marnie",1,0,0,1,0
"1445","marriage",1,0,13,0,1
"1446","martes",1,0,1,6,0
"1447","martesdemaduro",0,0,0,1,1
"1448","martin",1,1,0,0,0
"1449","martinez",1,0,1,0,2
"1450","mas",20,35,9,12,21
"1451","m„s",0,0,79,30,19
"1452","mascherano",0,0,2,0,1
"1453","mascotas",1,0,0,0,1
"1454","m„sica",0,0,0,3,4
"1455","mastercraft",1,0,0,1,0
"1456","mat",2,0,0,4,1
"1457","mata",1,1,0,0,0
"1458","matar",0,0,1,0,1
"1459","matarlas",0,1,0,1,0
"1460","mateo",0,0,0,1,1
"1461","materiales",0,0,0,1,1
"1462","mathew",1,0,0,1,1
"1463","matrimonio",0,0,15,0,2
"1464","m„xico",0,0,12,1,0
"1465","may",2,0,1,0,1
"1466","mayor",1,1,4,6,3
"1467","mayores",2,0,0,1,0
"1468","mclean",0,0,0,1,4
"1469","media",4,0,0,2,1
"1470","mediante",1,1,0,1,0
"1471","medicina",1,3,0,1,1
"1472","medida",0,0,1,1,0
"1473","medina",1,0,1,5,1
"1474","medio",4,1,4,5,4
"1475","medios",0,2,0,2,0
"1476","megacirco",3,28,2,0,1
"1477","mejor",8,8,4,6,12
"1478","mejores",1,2,2,6,1
"1479","melbourne",2,0,0,1,0
"1480","memoria",2,0,1,0,0
"1481","mencionar",0,0,2,0,1
"1482","menos",3,2,12,5,3
"1483","mensaje",3,30,1,3,1
"1484","mensajes",0,1,0,1,0
"1485","mente",0,0,9,0,2
"1486","mentira",4,2,0,0,0
"1487","mercado",1,0,0,0,1
"1488","mercedes",0,0,1,2,0
"1489","merece",0,0,1,7,0
"1490","merecen",1,1,0,0,0
"1491","merete",0,0,1,0,5
"1492","mes",3,0,13,1,1
"1493","mesage",2,0,0,1,1
"1494","meses",3,1,0,1,0
"1495","mesi",1,1,3,1,3
"1496","met",2,0,1,1,1
"1497","meten",0,0,0,1,1
"1498","metros",1,0,0,0,1
"1499","miami",0,0,0,2,2
"1500","michael",2,0,0,3,2
"1501","miedo",1,1,0,0,1
"1502","miel",36,0,0,1,0
"1503","miembros",0,0,3,0,1
"1504","mientras",4,2,14,1,5
"1505","miÈrcoles",1,1,0,0,0
"1506","might",1,0,0,0,1
"1507","miguel",4,0,2,1,0
"1508","mil",4,1,2,10,7
"1509","milagro",0,0,1,2,1
"1510","miles",0,1,2,2,0
"1511","mill„n",0,0,6,1,0
"1512","millon",1,0,0,1,1
"1513","millones",2,0,6,2,8
"1514","mind",2,0,0,2,0
"1515","mini‰ˇin",0,0,0,1,1
"1516","minions",4,0,8,2,5
"1517","minutos",1,30,8,1,5
"1518","mio",1,0,0,0,2
"1519","mir„",0,0,8,0,1
"1520","mira",6,36,12,12,19
"1521","miracles",1,1,0,0,0
"1522","miradas",0,0,1,0,1
"1523","miranda",1,0,0,1,0
"1524","mirar",1,1,7,1,0
"1525","mis",1,0,1,1,3
"1526","mision",1,0,1,0,1
"1527","misma",1,1,1,1,2
"1528","mismo",5,2,10,7,1
"1529","ml",1,29,1,0,0
"1530","moda",0,1,1,0,1
"1531","model",0,0,1,0,1
"1532","modelado",0,0,1,1,0
"1533","modo",2,0,0,1,1
"1534","mojito",0,1,0,1,0
"1535","molina",2,1,2,0,0
"1536","moment",3,1,0,1,1
"1537","momento",8,35,1,7,7
"1538","momentos",1,0,3,6,1
"1539","mon",0,0,1,1,0
"1540","monday",0,0,0,2,2
"1541","monoxido",0,1,0,1,0
"1542","mont„n",0,0,1,0,1
"1543","monte",1,0,0,3,1
"1544","moraleja",0,0,0,1,1
"1545","moreno",1,2,1,0,0
"1546","mother",0,0,1,1,0
"1547","move",0,0,6,1,0
"1548","movie",1,0,0,1,2
"1549","movimiento",2,0,0,1,0
"1550","movimientos",0,1,0,1,1
"1551","mp",0,0,1,1,1
"1552","much",0,2,2,1,0
"1553","mucha",1,0,1,3,0
"1554","muchas",8,0,1,3,2
"1555","mueran",0,1,0,1,0
"1556","muerte",1,2,10,1,0
"1557","muerto",1,1,0,6,0
"1558","muestra",2,0,2,1,0
"1559","muito",0,0,1,0,1
"1560","mujer",8,6,8,10,7
"1561","mujeres",5,4,8,4,5
"1562","multitud",0,0,1,0,1
"1563","mundial",1,1,1,1,1
"1564","mundo",11,2,19,10,8
"1565","municipio",3,2,0,0,0
"1566","muro",1,1,0,0,0
"1567","museo",1,0,6,0,1
"1568","music",5,1,0,5,3
"1569","m˙sica",3,1,0,0,0
"1570","must",2,0,1,4,1
"1571","muy",0,1,0,1,0
"1572","mythofjuly",0,1,0,1,1
"1573","na",0,2,1,3,4
"1574","n‚",0,0,1,1,1
"1575","n„",0,0,0,1,2
"1576","nace",0,0,1,6,0
"1577","nacho",0,1,0,1,0
"1578","nacido",0,1,1,0,0
"1579","nacional",5,0,18,0,1
"1580","nacionales",1,0,0,1,1
"1581","nadie",5,5,3,9,7
"1582","name",1,0,0,1,0
"1583","n„mero",0,0,2,0,1
"1584","natural",3,0,6,1,1
"1585","naturaleza",1,0,6,0,1
"1586","navidad",0,1,0,1,0
"1587","near",1,0,0,0,1
"1588","necesidad",3,0,1,0,0
"1589","necesita",1,0,0,1,2
"1590","necesitan",0,0,0,4,1
"1591","necesito",1,4,0,0,1
"1592","ned",5,0,8,1,2
"1593","negra",0,1,1,0,0
"1594","negro",0,1,1,1,2
"1595","nepal",0,0,0,1,1
"1596","nesa",1,0,0,2,0
"1597","neveldine",1,0,1,0,0
